Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
1,01-I-060524,No incluir en el barrido zoosanitario para fines de acreditación las cabezas probadas e identificadas en 2021.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),"6 mayo, 2024","31 mayo, 2024",Completado,Primera Ordinaria
2,02-I-060524,Incluir en el barrido zoosanitario las cabezas probadas e identificadas en Buctzotz y Tizimín en 2022 conforme a recomendaciones de SENASICA.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"6 mayo, 2024","31 mayo, 2024",Completado,Primera Ordinaria
3,03-I-060524,"Validar como avance en el barrido zoosanitario 2023 las 94,563 cabezas probadas e identificadas incluyendo 2022 y hatos libres.",MVZ. Víctor Manuel Calderón Jiménez (SENASICA),"6 mayo, 2024","31 mayo, 2024",Completado,Primera Ordinaria
4,04-I-060524,Confirmar que el avance del barrido 2023 se realizó con tres fuentes de recursos financieros: Anexo Técnico convenio de colaboración (9.1 millones de pesos) y recursos del gobierno estatal.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),"6 mayo, 2024","31 mayo, 2024",Completado,Primera Ordinaria
5,05-I-060524,"Establecer meta preliminar para 2024 de probar 127,454 cabezas incluyendo 20,000 con recursos en concurrencia y la diferencia con recursos adicionales federales y estatales.",M.Sc. Gerardo Solís Pasos (Gobierno del Estado),"6 mayo, 2024","31 diciembre, 2024",Completado,Primera Ordinaria
6,06-I-060524,Revisar mecanismos de SINIIGA para agilizar la identificación de animales y el barrido zoosanitario.,MVZ Francis A. Genovés Chanona (SINIIGA),"6 mayo, 2024","13 junio, 2024",Pendiente,Primera Ordinaria
7,07-I-060524,Elaborar y validar agenda para la visita de SENASICA enviándola con la cédula de avances a la Dirección General de Salud Animal.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),"6 mayo, 2024","15 mayo, 2024",Completado,Primera Ordinaria
8,01-II-130524,Proponer agenda de visita de SENASICA del 27 al 31 de mayo de 2024 conforme al programa anexo.,MVZ. José Joaquín Peral Rodríguez (SENASICA),"13 mayo, 2024","15 mayo, 2024",Completado,Segunda Ordinaria
9,02-II-130524,Revisar y evaluar las recomendaciones críticas de la certificación USDA de febrero 2023.,Ing. Abigail Estrada Estrada (SADER),"13 mayo, 2024","21 mayo, 2024",Completado,Segunda Ordinaria
10,03-II-130524,Realizar reunión el 22/05/24 con Uniones Ganaderas para establecer mecanismos que cumplan con la recomendación de pruebas CFT en ganado que sale del estado (no para sacrificio directo).,Dr. Roger Armando Díaz Mendoza (UGRY),"13 mayo, 2024","22 mayo, 2024",Completado,Segunda Ordinaria
11,04-II-130524,Abordar en reunión del 22/05/24 la evaluación in situ de PSG inventario y conciliación de registros REEMO/SINIIGA con el representante legal de Grupo Agropecuario Opchén.,C. Noé J. Cepeda Lizama (UGROY),"13 mayo, 2024","22 mayo, 2024",En Progreso,Segunda Ordinaria
12,01-III-230524,Informar la agenda de visitas de SENASICA al estado de Yucatán con adecuaciones correspondientes.,MVZ. José Joaquín Peral Rodríguez (SENASICA),"23 mayo, 2024","26 mayo, 2024",Completado,Tercera Ordinaria
