Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
1,CE-YUC-281122-001,Instalación del CESO en Yucatán.,MVZ. María del Refugio Medina Juárez,"28 noviembre, 2022","28 noviembre, 2022",Cumplido,Instalación
2,CE-YUC-281122-002,Los integrantes del CESO se dan por enterado acerca del manual de funcionamiento del CESO.,MVZ. Francis A. Genovez Chanona,"28 noviembre, 2022","28 noviembre, 2022",Cumplido,Instalación
3,CE-YUC-281122-003,Se da a conocer el inventario de identificadores de las Ventanillas en el Estado.,MVZ. Francis A. Genovez Chanona,"28 noviembre, 2022","28 noviembre, 2022",Cumplido,Instalación
4,CE-YUC-281122-004,Siguiente reunión de trabajo,MVZ. María del Refugio Medina Juárez,"28 noviembre, 2022","5 diciembre, 2022",Cumplido,Instalación
5,CE-YUC-051222-001,El Centro Operativo Nacional (CON) enviará la base de datos del 56% de las claves de UPP que requieren actualización para este 2023. Dicha base debe contener clave de UPP; Productor; Municipio; Localidad; Inventario y última fecha de actualización.,M.V.Z. Francis A. Genovez Chanona,"5 diciembre, 2022","8 diciembre, 2022",Cumplido,1ra Ordinaria
6,CE-YUC-051222-002,Se convocará a reunión el 10/12/2022; con los Presidentes de las AGL correspondientes a la Unión Ganadera Regional de Yucatán (UGRY); con la finalidad de informarles acerca del CESO y las disposiciones de identificación en lo futuro.,MVZ. María del Refugio Medina Juárez,"5 diciembre, 2022","10 diciembre, 2022",Cumplido,1ra Ordinaria
7,CE-YUC-051222-003,Se convocará a reunión el 11/12/2022; con los Presidentes de las AGL correspondientes a la Unión Ganadera Regional del Oriente de Yucatán (UGROY); con la finalidad de informarles acerca del CESO y las disposiciones de identificación en lo futuro.,MVZ. María del Refugio Medina Juárez,"5 diciembre, 2022","11 diciembre, 2022",Cumplido,1ra Ordinaria
8,CE-YUC-051222-004,Las sesiones del 2023 se realizarán el primer jueves de cada mes.,MVZ. María del Refugio Medina Juárez,"5 diciembre, 2022",todo el 2023,Permanente,1ra Ordinaria
9,CE-YUC-100123-001,Reunión extraordinaria a las 8:00 horas. para definir estrategia de atención a claves de UPP que deben actualizar en PGN y BCI.,MVZ. María del Refugio Medina Juárez,"10 enero, 2023","24 enero, 2023",Cumplido,2da Ordinaria
10,CE-YUC-100123-002,Definir estrategia de fortalecimiento de identificación de Colmenas,Todos los integrantes,"10 enero, 2023","2 febrero, 2023",Cumplido,2da Ordinaria
11,CE-YUC-100123-003,Permitir la identificación del 100% de animales en las claves de UPP (por única vez) en éste 2023.,MVZ. Francis A. Genovez Chanona,"10 enero, 2023",todo 2023,Permanente,2da Ordinaria
12,CE-YUC-100123-004,Después del 100% de identificación de la UPP; la siguiente ocasión; debe solicitar únicamente  identificar incremento natural y rearetados.,MVZ. Francis A. Genovez Chanona,"10 enero, 2023",todo 2023,Permanente,2da Ordinaria
13,CE-YUC-100123-005,Reunión con la AGL de Tízimin para informar acerca del CESO y las actividades que desarrollarán en la operación del programa.,Todos los integrantes,"10 enero, 2023","25 enero, 2023",Cumplido,2da Ordinaria
14,CE-YUC-100123-006,Próxima reunión ordinaria,MVZ. María del Refugio Medina Juárez,"10 enero, 2023","2 febrero, 2023",Cumplido,2da Ordinaria
15,CE-YUC-240123-001,Propuesta de fotografía para validar identificación,Ing. Gerardo Solis Pasos,"24 enero, 2023","2 febrero, 2023",Cumplido,1ra Extraordinaria
16,CE-YUC-240123-002,Proponer reunión entre representantes de CESO entre Campeche; Yucatán y Quintana Roo,MVZ. María del Refugio Medina Juárez,"24 enero, 2023","2 febrero, 2023",Cumplido,1ra Extraordinaria
17,CE-YUC-020223-001,El representante de Gobierno del Estado se dará a la tarea de solicitar autorización para establecer subsidio del 50% en la adquisición de los identificadores de Colmenas.,Ing. Gerardo Solis Pasos,"2 febrero, 2023","3 febrero, 2023",Cumplido,3ra Ordinaria 
18,CE-YUC-020223-002,Se pondrá a disposición de la mesa la propuesta de lona publicitaria; donde se establezcan los servicios y costos de los mismos en cada Espacio de Atención.,MVZ. Francis A. Genovez Chanona,"2 febrero, 2023","2 febrero, 2023",cumplido,3ra Ordinaria 
19,CE-YUC-020223-003,Proponer la lista de elementos técnicos; administrativos y operativos; con los cuales  deben  contar  los  Espacios  de  Atención  para  otorgar  los  servicios  de calidad.,MVZ. Francis A. Genovez Chanona,"2 febrero, 2023","3 febrero, 2023",cumplido,3ra Ordinaria 
20,CE-YUC-020223-004,Se  establecerá  la  bitácora  correspondiente  de  solicitudes  de  información  que lleguen a éste consejo.,MVZ. Francis A. Genovez Chanona,"2 febrero, 2023","2 febrero, 2023",cumplido,3ra Ordinaria 
21,CE-YUC-020223-005,La invitación del Presidente de la AGL de Súcila; la responderá el Presidente de éste Consejo. Así como la carta del productor Susano López la responderá el Secretario Técnico del mismo.,MVZ. María del Refugio Medina Juárez,"2 febrero, 2023","2 febrero, 2023",Cumplido,3ra Ordinaria 
22,CE-YUC-020223-006,Se envía a los integrantes del Consejo la propuesta de Carta compromiso del productor; para apoyar a cumplir la trazabilidad en el Estado; para recibir observaciones hasta el 6 de febrero próximo para definir formato y autorizarlo.,Ing. Gerardo Solis Pasos,"2 febrero, 2023","6 febrero, 2023",Cumplido,3ra Ordinaria 
23,CE-YUC-020223-007,Se presentará en la siguiente reunión programa de Cursos de capacitación de TIA y PIA.,MVZ. Francis A. Genovez Chanona,"2 febrero, 2023","3 febrero, 2023",Cumplido,3ra Ordinaria 
24,CE-YUC-020323-001,Modificación de la redacción del orden del día en el punto 10. Simplemente queda como acuerdos.,MVZ. Francis A. Genovez Chanona,"3 febrero, 2023","3 febrero, 2023",Cumplido,4ta Ordinaria
25,CE-YUC-020323-002,Los jefes VAS de Yucatán serán invitados permanentes de éste Consejo.,MVZ. Francis A. Genovez Chanona,"3 febrero, 2023",permanente,Cumplido,4ta Ordinaria
26,CE-YUC-020323-003,Los jefe VAS deberán reportar de manera mensual las actividades operativas realizadas en sus respectivos Espacios de Atención.,MVZ. Francis A. Genovez Chanona,"3 febrero, 2023",permanente,Permanente,4ta Ordinaria
27,CE-YUC-020323-004,Gobierno del Estado emitirá dictámen para registro de actividad de las PSG.,Ing. Gerardo Solis Pasos,"3 febrero, 2023",permanente,Permanente,4ta Ordinaria
28,CE-YUC-020323-005,Se atenderá la queja de productor Diego A. Loria Gil involucrado en abuso de confianza en el uso de su clave de UPP.,Ing. Gerardo Solis Pasos,"3 febrero, 2023",próxima reunión,Cumplido,4ta Ordinaria
29,CE-YUC-020323-006,Se invitará al presidente y usuario de REEMO de la AGL de Buctzotz involucrado en el caso del productor Diego A. Loria Gil.,MVZ. María del Refugio Medina Juárez,"3 febrero, 2023",próxima reunión,Cumplido,4ta Ordinaria
30,CE-YUC-020323-007,Actualización del convenio de colaboración REEMO entre las Uniones Ganaderas Regionales y el Gobierno del Estado.,Dr. Roger Díaz,"3 febrero, 2023",04/04/2023,cumplido,4ta Ordinaria
31,CE-YUC-020323-008,Propuesta de protocolo de movilización con guía REEMO.,Ing. Gerardo Solis Pasos,"3 febrero, 2023","4 abril, 2023",Cumplido,4ta Ordinaria
32,CE-YUC-040423-001,Enviar 24 horas antes de cada reunión la información correspondiente de las reuniones; para conocimiento de los integrantes.,MVZ. Francis A. Genovez Chanona,"4 abril, 2023",permanente,Permanente,5ta Ordinaria
33,CE-YUC-040423-002,Enviar información de listas de PSG a Gobierno del Estado para validación.,Jefes de Ventanilla,"4 abril, 2023","11 abril, 2023",Permanente,5ta Ordinaria
34,CE-YUC-040423-003,Presentar información de identificadores recolectados de rastros; cotejada con guías REEMO (destino rastro) y la cantidad de matanza reportado por CFPP,Jefes de Ventanilla,"4 abril, 2023","4 mayo, 2023",Permanente,5ta Ordinaria
35,CE-YUC-040423-004,Definir variables para análisis de reporte de actividades de TIA,Jefes de Ventanilla,"4 abril, 2023","4 mayo, 2023",Cumplido,5ta Ordinaria
36,CE-YUC-040423-005,Atención de la queja presentada por Eduardo J. Ándres Gonzalez; consiste en la validación de reseña  de 48 identificadores bovinos en sistema.,MVZ. Ángel M. Castillo Camal,"4 abril, 2023","11 abril, 2023",Cumplido,5ta Ordinaria
37,CE-YUC-040523-001,Reunión de trabajo para definir convenio REEMO entre gobierno del Estado y las Uniones Ganaderas Regionales. Área Jurídica SEDER.,Ing. Gerardo Solis Pasos,"4 mayo, 2023",04/05/2023,cumplido,6ta Ordinaria
38,CE-YUC-040523-002,Exponer a éste Consejo la operación de los TIA; así como sus responsabilidades,Jefes de Ventanilla,"4 mayo, 2023","6 julio, 2023",cumplido,6ta Ordinaria
39,CE-YUC-040523-003,Actualizar la clave de PSG de la Subasta Ganadera de Tizimín.,Ing. Gerardo Solis Pasos,"4 mayo, 2023","6 julio, 2023",Permanente,6ta Ordinaria
40,CE-YUC-040523-004,Reportar mensualmente los registros y actualizaciones así como la asignación de identificadores por especie.,Jefes de Ventanilla,"4 mayo, 2023","6 julio, 2023",Permanente,6ta Ordinaria
41,CE-YUC-040523-005,Reunión de trabajo para tratar las recomendaciones de Aphis-USDA.,Ing. Gerardo Solis Pasos,"4 mayo, 2023","12 mayo, 2023",Cumplido,6ta Ordinaria
42,CE-YUC-060723-001,Rutas de barrido de acuerdo a la identificación animal en las comunidades,Lic. Leticia Loria Medrano,"6 julio, 2023","6 julio, 2023",Cumplido,8va Ordinaria
43,CE-YUC-060723-002,Coordinación entre la Ventanilla Oriente de Yucatán con los enlaces de CFPP (MVZ. Oscar Correa XXX) y SEDER (MVZ. Moíses Martín Sima) para barrido en Tizimín.,Lic. Leticia Loria Medrano,"6 julio, 2023","6 julio, 2023",Cumplido,8va Ordinaria
44,CE-YUC-060723-003,Estrategia de apoyo en la adquisición de identificadores para barrido,Ing. Gerardo Solis Pasos,"6 julio, 2023","3 agosto, 2023",cumplido,8va Ordinaria
45,CE-YUC-060723-004,Visita a PSG de Buctzotz para depuración de inventario en BCI y validación de los requisitos de operación.,Ing. Gerardo Solis Pasos,"6 julio, 2023","6 agosto, 2023",Cumplido,8va Ordinaria
46,CE-YUC-030823-001,Agregar concepto Autorizado por SEDER y actualizado por SINIIGA; para las claves de PSG en el Estado.,Jefes de Ventanilla,"3 agosto, 2023",permanente,cumplido,9na Ordinaria
47,CE-YUC-030823-002,Consulta a SENASICA el tema de la reasignación de identificadores del predio Cuarentenado del productor José Eduardo Andrés Gonzalez.,MVZ. Victor Calderón Jiménez,"3 agosto, 2023","11 septiembre, 2023",cumplido,9na Ordinaria
48,CE-YUC-030823-003,Presentar las claves de PSG vigentes de bovinos y colmenas.,Jefes de Ventanilla,"3 agosto, 2023",permanente,cumplido,9na Ordinaria
49,CE-YUC-110923-001,Validar las actualizaciones de las claves de UPP de bovinos y colmenas,Jefes de Ventanilla,"11 septiembre, 2023","5 octubre, 2023",Cumplido,10ma Ordinaria
50,CE-YUC-110923-002,Reportar la fecha de la última actualización de las claves de PSG.,MVZ. Francis A. Genovez Chanona,"11 septiembre, 2023","5 octubre, 2023",cumplido,10ma Ordinaria
51,CE-YUC-110923-003,Estrategia para la recolección de identificadores de rastros en Oriente,Jefes de Ventanilla,"11 septiembre, 2023","5 octubre, 2023",cumplido,10ma Ordinaria
52,CE-YUC-110923-004,Incorporar en la firma de actas;  los anexos de cada reunión.,MVZ. Francis A. Genovez Chanona,"11 septiembre, 2023","5 octubre, 2023",cumplido,10ma Ordinaria
53,CE-YUC-051023-001,Enviar a Gobierno del Estado las 44 claves de PSG de sacrificio vigentes en el estado.,Jefes de Ventanilla,"5 octubre, 2023","9 octubre, 2023",cumplido,11va Ordinaria
54,CE-YUC-051023-002,Enviar a Gobierno del Estado el reporte de identificadores ubicados en las claves de PSG P08.,Jefes de Ventanilla,"5 octubre, 2023","9 octubre, 2023",Cumplido,11va Ordinaria
55,CE-YUC-061123-001,Modificación del orden del día; incluyendo en asuntos generales el tema de plataforma SENASICA.,MVZ. Francis A. Genovez Chanona,"6 noviembre, 2023","6 noviembre, 2023",cumplido,12va Ordinaria
56,CE-YUC-061123-002,Presentar información de las claves de UPP; de acuerdo a las vigentes y su inventario respectivo,Jefes de Ventanilla,"6 noviembre, 2023","7 diciembre, 2023",Cumplido,12va Ordinaria
57,CE-YUC-061123-003,solicitar la actualización del reporte de claves de UPP vigentes y su inventario por especie; para realizar el comparativo con años 2021-2023.,MVZ. Francis A. Genovez Chanona,"6 noviembre, 2023","7 diciembre, 2023",Cumplido,12va Ordinaria
58,CE-YUC-061123-004,Enviar a Centro Operativo Nacional oficio de suspensión de claves de PSG; las cuales no han actualizado su expediente ante Gobierno del Estado.,Ing. Gerardo Solis Pasos,"6 noviembre, 2023","7 diciembre, 2023",Cumplido,12va Ordinaria
59,CE-YUC-071223-001,Modificación de orden del día; agregando en asuntos generales temas como amparo de productor Eduardo Andrés y Calendario de reuniones 2024.,MVZ. Francis A. Genovez Chanona,"7 diciembre, 2023","7 diciembre, 2023",Cumplido,13va Ordinara
60,CE-YUC-071223-002,reunión extraordinaria a las 17:00 horas para tratar avance de barrido.,Jefes de Ventanilla,"7 diciembre, 2023","18 diciembre, 2023",Cumplido,13va Ordinara
