id,Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
0dwcsv1iji,55,03-XI-310325,Presentar protocolo para reactivación de UPP's inhabilitadas.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45747,45747,Completado,Undécima Ordinaria
10kkas306i,39,01-IX-230724,Ratificar grupo de trabajo.,Completado,45496,,-,Novena Ordinaria
1pqor6frxq,64,05-XII-190625,SADER establecerá protocolo de comunicación vía correo electrónico institucional con respaldo de grupo de WhatsApp.,Ing. Abigail Estrada Estrada (SADER),45827,45853,Pendiente,Duodécima Ordinaria
24cx1qk5jf,11,04-II-130524,Abordar en reunión del 22/05/24 la evaluación in situ de PSG inventario y conciliación de registros REEMO/SINIIGA con el representante legal de Grupo Agropecuario Opchén.,C. Noé J. Cepeda Lizama (UGROY),45425,45434,En Progreso,Segunda Ordinaria
26bm0v0fak,21,06-IV-070624,Enviar oficio para inspección el 26/06/24 al...,Ing. Juan Carlos Rodríguez Andrade (SEDER),45450,45468,Pendiente,Cuarta Ordinaria
2o5sdajrgq,67,03-XIII-170725,Realizar una reunión de sensibilización con responsables de ventanillas y MVZ responsables sobre procedimientos de registro de PSG y emisión de guías REEMO antes de la visita de pre-certificación.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45849,45845,Pendiente,Treceava Ordinaria
2qwkc486cz,54,02-XI-310325,Apertura de actividades del barrido en nuevos municipios en abril 2025.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45747,45777,Pendiente,Undécima Ordinaria
33a9rl65s8,1,01-I-060524,No incluir en el barrido zoosanitario para fines de acreditación las cabezas probadas e identificadas en 2021.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),45418,45443,Completado,Primera Ordinaria
4feoaulkd6,70,02-XIV-240725,"Aprobación de la propuesta de agenda de visitas de SENASICA del 11 al 15 de agosto de 2025, con modificaciones menores para optimizar la logística.",MVZ. José Joaquín Peral Rodríguez (SENASICA),45862,45862,Completado,Décimacuarta Ordinaria
4l73tueuzd,5,05-I-060524,"Establecer meta preliminar para 2024 de probar 127,454 cabezas incluyendo 20,000 con recursos en concurrencia y la diferencia con recursos adicionales federales y estatales.",M.Sc. Gerardo Solís Pasos (Gobierno del Estado),45418,45657,Completado,Primera Ordinaria
69w55okpjp,40,02-IX-230724,"Establecer avance barrido: 179,698 cabezas.",Completado,45496,,-,Novena Ordinaria
6ifegl5fa3,28,01-VI-020724,"Ratificar avance del barrido: 26 municipios cerrados con 206,014 cabezas.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45475,,Completado,Sexta Ordinaria
6lfbv8z0ce,66,02-XIII-170725,"Aprobar la propuesta de agenda de visitas de SENASICA del 11 al 15 de agosto de 2025,con modificaciones menores para optimizar la logística.",MVZ. José Joaquín Peral Rodríguez (SENASICA),45849,45849,Completado,Treceava Ordinaria
77ch8dnnaf,32,05-VI-020724,Protocolo de comunicación formal.,Ing. Abigail Estrada Estrada (SADER),45475,45499,Pendiente,Sexta Ordinaria
7p30ae2i0w,65,01-XIII-170725,Aprobar el orden del día de la XIII Reunión Ordinaria.,Ing. Dámaso Pech Uc (SEDER),45849,,Completado,Treceava Ordinaria
80xmmtzt2u,47,02-X-140225,"Establecer avance del barrido: 179,698 cabezas probadas (37.06% del censo 2015).",Completado,45702,,-,Décima Ordinaria
8izt0mftfe,88,03-XVIII-11092025,"Convocar una reunión de seguimiento en 30 días para revisar impactos socio-económicos y ajustes necesarios, priorizando inclusión de productores marginados. MVZ Alfredo Colin.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45911,45941,Pendiente,Décima octáva Ordinaria
94gegxv1vq,2,02-I-060524,Incluir en el barrido zoosanitario las cabezas probadas e identificadas en Buctzotz y Tizimín en 2022 conforme a recomendaciones de SENASICA.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45418,45443,Completado,Primera Ordinaria
9cvj8xyvjv,29,02-VI-020724,SEDER asegurará supervisión bimestral a PSG y centros REEMO.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45475,45505,En Progreso,Sexta Ordinaria
9s6py4aepg,23,02-V-180624,CEFPPY enviará actas de cierre de barrido a SINIIGA para suspensión de UPPs no participantes.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45461,45482,En Progreso,Quinta Ordinaria
9tdo4u4sr,80,05-XVI-150825,"Revisar SINIIGA para listar UPP inactivas, suspender hasta inventario y evaluar in situ. Incluir datos suplementarios APHIS (e.g., mapas GPS, listas de cuarentenas, resúmenes de granulomas). Responsable: MVZ Alejandro Perera (APHIS) y SINIIGA Regional. Plazo: Revisión completa antes del 15 de septiembre de 2025; validación USDA.",MVZ Francis A. Genovés Chanona (SINIIGA),45884,45915,,Décima sexta Ordinaria
aiz01a3j7d,77,02-XVI-150825,"Desarrollar procedimiento para determinar hatos epidemiológicos usando datos de barrido 2023-2025, actualizando censos UPP y regresando a predios si necesario. Meta: Reducción de prevalencia a <0.5% en hatos afectados. Responsable: MVZ Alfredo Colín Álvarez (CEFPPY) y Ing. Juan Carlos Rodríguez Andrade (SEDER). Plazo: Análisis completo al cierre de 2025; reportes trimestrales a SENASICA/APHIS.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45884,46022,En Progreso,Décima sexta Ordinaria
ak0qhfvyxx,79,04-XVI-150825,"Reportar inconsistencias de CENASA a DGSA, evaluar cambio de laboratorio y solicitar cubos de parafina/kit PRONAVIBE para diagnósticos (PCR, spoligotipificación). Responsable: CEFPPY y Laboratorio Regional Mérida. Plazo: Reporte inmediato (antes del 29 de agosto de 2025); adquisición antes del 6 de octubre de 2025.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45884,45936,En Progreso,Décima sexta Ordinaria
aym7mbzgvb,10,03-II-130524,Realizar reunión el 22/05/24 con Uniones Ganaderas para establecer mecanismos que cumplan con la recomendación de pruebas CFT en ganado que sale del estado (no para sacrificio directo).,Dr. Roger Armando Díaz Mendoza (UGRY),45425,45434,Completado,Segunda Ordinaria
azs8vlfpds,27,06-V-180624,Establecer protocolo de comunicación vía correo institucional.,Ing. Abigail Estrada Estrada (SADER),45461,45487,Pendiente,Quinta Ordinaria
b3ksoy4prw,18,03-IV-070624,Gobierno del Estado integrará una base de datos de fierros registrados presentando avances el 18/06/24.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),45450,45461,Completado,Cuarta Ordinaria
b55hvddljm,36,01-VIII-160724,Preparar Excel con correlación hatos/UPPs.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45489,,Pendiente,Octava ORdinaria
bh2lsmjhsx,73,01-XV-080825,"Preparar y enviar un archivo Excel con correlación detallada de hatos y UPPs por municipio para todo el barrido, incluyendo cifras de prevalencia, reactores y cuarentenas, basado en datos de barrido y censo BCI.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45877,,Pendiente,Décima quinta Ordinaria
c5wovwucgl,75,03-XV-080825,"Proceder con la agenda de visitas validada con dos grupos, incorporando revisiones de laboratorio y expedientes, según el documento PROGRAMA DE VISITAS SENASICA AGOSTO 2025_MODIFICADA_05_08_2025 (1).xlsx.",Ing. Juan Carlos Rodríguez Andrade (SEDER),45877,45881,En Progreso,Décima quinta Ordinaria
cr1vt4n337,71,03-XIV-240725,"Realizar una reunión de sensibilización con responsables de ventanillas y MVZ responsables sobre procedimientos de registro de PSG y emisión de guías REEMO, en una fecha por definir antes de la visita de pre-certificación.",Ing. Juan Carlos Rodríguez Andrade (SEDER),45862,45877,Pendiente,Décimacuarta Ordinaria
dc981k2si5,30,03-VI-020724,Elaborar plan de visitas a Opchén y comunicar al grupo.,Dr. Moisés Abraham Martín Sima (SEDER),45475,45499,Pendiente,Sexta Ordinaria
ej7zq7r9km,25,04-V-180624,Realizar visitas técnicas a Grupo Agropecuario Opchén en julio 2025.,Dr. Moisés Abraham Martín Sima (SEDER),45461,45500,Pendiente,Quinta Ordinaria
f4jemsepgy,9,02-II-130524,Revisar y evaluar las recomendaciones críticas de la certificación USDA de febrero 2023.,Ing. Abigail Estrada Estrada (SADER),45425,45433,Completado,Segunda Ordinaria
f7xmx42cft,63,04-XII-190625,SADER implementará Google Sheets/Google Drive para seguimiento de tareas con capacitación.,Ing. Abigail Estrada Estrada y MVZ Sergio Muñoz de Alba Medrano (SADER),45827,45853,Pendiente,Duodécima Ordinaria
ga2l83j6js,49,04-X-140225,CEFPPY enviará actas a SINIIGA para suspender UPP's no participantes.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45702,45731,En Progreso,Décima Ordinaria
gbx2b241u8,4,04-I-060524,Confirmar que el avance del barrido 2023 se realizó con tres fuentes de recursos financieros: Anexo Técnico convenio de colaboración (9.1 millones de pesos) y recursos del gobierno estatal.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),45418,45443,Completado,Primera Ordinaria
gjegt6yu3q,15,04-III-230524,"UGROY,SINIIGA y Gobierno del Estado realizarán visitas técnicas al Grupo Agropecuario Opchén para seguimiento de reportes.",C. Noé J. Cepeda Lizama (UGROY),45435,45456,En Progreso,Tercera Ordinaria
grmrv6qkev,33,01-VII-090724,Aprobar agenda de visitas SENASICA 11-15/08/2025.,MVZ. José Joaquín Peral Rodríguez (SENASICA),45482,45482,Completado,Septima Ordinaraia
gvsnsu210p,51,06-X-140225,Reunión entre UGROY y CEFPPY para acciones en predio San Abraham.,Mario E. López Meneses (UGROY),45702,45702,Completado,Décima Ordinaria
h88azwzyoq,20,05-IV-070624,Gobierno del Estado seguirá bitácoras de entradas y salidas de ganado en Centros de Acopio.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),45450,45487,En Progreso,Cuarta Ordinaria
h9qj2w70m6,61,02-XII-190625,"SEDER continuará supervisiones mensuales de PSG,alcanzando 100% de cobertura.",Ing. Juan Carlos Rodríguez Andrade (SEDER),45827,45930,En Progreso,Duodécima Ordinaria
hdtoxq3ksl,76,01-XVI-150825,"Retomar el Consejo Peninsular de Sanidad e Inocuidad Agroalimentaria (CPSIA) para definir criterios epidemiológicos unificados, fortalecer Puntos de Verificación e Inspección (PVI) y elaborar recomendaciones específicas para la Península, incluyendo presupuestación regional para actividades de erradicación. Alinear con T-MEC para exportaciones. Responsable: MVZ Jorge Carlos Berlin Montero, con apoyo de SEDER Yucatán y UGRY. Plazo: Plan inicial en semana del 15 de septiembre de 2025; implementación antes del 6 de octubre de 2025.",MVZ Jorge Carlos Berlin Montero,45884,45936,Pendiente,Décima sexta Ordinaria
hh3xbwq78f,53,01-XI-310325,Dar por terminados municipios específicos y programar actas de cierre para otros el 15/04/25.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45747,45762,En Progreso,Undécima Ordinaria
idng3483cr,41,03-IX-230724,Cierre barrido 28/02/25 en municipios específicos.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),45496,45716,En Progreso,Novena Ordinaria
ii9b7mf447,59,07-XI-310325,Próxima reunión en mayo 2025.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45747,45808,Pendiente,Undécima Ordinaria
kkirk3t3e5,3,03-I-060524,"Validar como avance en el barrido zoosanitario 2023 las 94,563 cabezas probadas e identificadas incluyendo 2022 y hatos libres.",MVZ. Víctor Manuel Calderón Jiménez (SENASICA),45418,45443,Completado,Primera Ordinaria
ktk6plmi2n,26,05-V-180624,Implementar Google Sheets para seguimiento de tareas con capacitación.,Ing. Abigail Estrada Estrada (SADER),45461,45487,Pendiente,Quinta Ordinaria
lm722gnr9x,86,01-XVIII-11092025,"Compartir las tablas ajustadas en su versión final con los representantes de la península para implementación inmediata, asegurando alineación con normas federales y estatales. Responsable: MVZ . Moisés Abraham Martín Sima",MVZ . Moisés Abraham Martín Sima,45911,45911,Pendiente,Décima octáva Ordinaria
mb1tm2cctj,44,06-IX-230724,Reunión UGROY-CEFPPY para predio San Abraham.,Mario E. López Meneses (UGROY),45496,45496,Completado,Novena Ordinaria
mcqpvbfp0r,43,05-IX-230724,UPPs suspendidas requieren prueba negativa para reactivación.,En Progreso,45496,,Apoya suspensión UPP.,Novena Ordinaria
mj6r1u5rs3,60,01-XII-190625,"Aprobar el avance del barrido. CEFPPY enviará actas de cierre de 26 municipios del oriente (24 UGROY y 2 UGRY) con 206,014 cabezas y 64% del dato registrado en BCI a SINIIGA.",MVZ Alfredo Colín Álvarez (CEFPPY),45827,45838,En Progreso,Undécima Ordinaria
mxz43ipew9,84,04-XVII-260825,"Remitir paquetes de información (cuatro en total: por región y estados) alineados con requisitos APHIS (mapas GPS, listas de exportadores, etc.) a más tardar el 6 de octubre de 2025. Responsable: MVZ Joaquin Peral (SENASICA). Plazo: 6 de octubre de 2025.",MVZ Joaquin Peral (SENASICA). ,45895,45936,En Progreso,Décima séptima Ordinaria
n5sv7we9gw,17,02-IV-070624,Productores solicitarán identificadores a SINIIGA para PSG con autorización del Gobierno del Estado; SINIIGA notificará estatus si no se autoriza.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),45450,45487,En Progreso,Cuarta Ordinaria
ov8dpnlza9,58,06-XI-310325,Gobierno del estado asegura prueba de pliegue caudal para ganado movilizado fuera del estado.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45747,45777,En Progreso,Undécima Ordinaria
p1g5m1v4ou,45,07-IX-230724,Emitir comunicado sobre disposiciones SENASICA.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45496,45716,Pendiente,Novena Ordinaria
pog7jmxfhu,57,05-XI-310325,Gobierno del estado atiende supervisión y autorización de PSG.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45747,45777,En Progreso,Undécima Ordinaria
qag1jhr1v5,69,01-XIV-240725,Aprobación del orden del día de la XIV Reunión Ordinaria.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45862,,Completado,Décimacuarta Ordinaria
qdeulfkhe7,24,03-V-180624,SEDER continuará supervisiones mensuales a PSG y centros REEMO.,Ing. Juan Carlos Rodríguez Andrade (SEDER),45461,45564,En Progreso,Quinta Ordinaria
qi8ofuhl0i,12,01-III-230524,Informar la agenda de visitas de SENASICA al estado de Yucatán con adecuaciones correspondientes.,MVZ. José Joaquín Peral Rodríguez (SENASICA),45435,45438,Completado,Tercera Ordinaria
